strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd12_sl5_tp0,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl5_tp15,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl5_tp20,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp0,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp15,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp20,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp0,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp15,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp20,0.99,-38.0973,3,33.33,1.7322,1.479,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl5_tp10,0.9181,-38.0973,3,33.33,1.7322,1.3775,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp10,0.9181,-38.0973,3,33.33,1.7322,1.3775,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp10,0.9181,-38.0973,3,33.33,1.7322,1.3775,2,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp0,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp15,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp20,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl8_tp0,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl8_tp15,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl8_tp20,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl8_tp0,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl8_tp15,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl8_tp20,0.4205,-38.0973,3,66.67,1.2255,0.5761,1,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl8_tp10,0.3915,-38.0973,3,66.67,1.2255,0.5377,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl8_tp10,0.3915,-38.0973,3,66.67,1.2255,0.5377,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl8_tp10,0.3915,-38.0973,3,66.67,1.2255,0.5377,1,1,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl3_tp0,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl3_tp15,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd24_sl3_tp20,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl3_tp0,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl3_tp15,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd24_sl3_tp20,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl3_tp0,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd24_sl3_tp15,0.0117,-38.0973,3,33.33,1.5834,0.0337,2,0,2025-11-29 20:00:00,2026-02-21 03:00:00
