strategy,return_pct,buy_hold_pct,trades,win_rate,max_dd_pct,sharpe,sl_count,tp_count,period_start,period_end
rsi10_cd12_sl5_tp15,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd12_sl5_tp20,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp0,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp10,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp15,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd12_sl5_tp20,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp0,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp10,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp15,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd12_sl5_tp20,-0.3086,-34.5747,6,50.0,2.8462,-0.3368,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp0,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp10,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp15,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi10_cd6_sl5_tp20,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp0,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp10,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp15,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi14_cd6_sl5_tp20,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp0,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp10,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
rsi20_cd6_sl5_tp15,-0.4132,-34.5747,6,50.0,3.4042,-0.35,3,0,2025-11-29 20:00:00,2026-02-21 03:00:00
